logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
13.0	323705	133742	17187	92141	38031	45970	107278	40285	75799	35717	21100	976	150	11148	925	3582	714	818
13.1	325734	128065	19264	90496	34793	46330	110000	44115	73705	32570	20610	961	219	11810	1120	4062	780	1492
13.2	337669	129589	19094	91809	36143	47012	117947	44758	74697	33676	20236	835	145	11716	1170	4303	887	1018
13.3	339745	126051	20579	92369	34568	47421	120556	44831	73286	31980	19707	774	304	12574	1407	4678	905	1015
13.4	351960	128227	22289	94339	35603	48296	127313	46409	74091	32761	19934	817	624	13774	1509	4996	958	1052
13.5	353553	124919	23427	94701	33202	48307	131545	45798	73253	30468	19146	803	1249	14338	1568	5370	996	1155
13.6	361452	125457	25560	97974	34480	48719	134939	45340	74111	31549	18644	911	242	15940	1638	5712	1076	1194
13.7	365660	122580	27242	95923	34189	49840	138121	47587	72538	30917	18077	756	292	15953	1875	6224	1128	2062
13.8	376591	123481	27823	95796	32560	50397	146228	51610	72051	29222	17916	715	3577	16575	2147	6756	1165	1180
13.9	377354	118838	29169	93250	32619	51908	151033	48544	70842	29066	17831	791	308	17187	2259	7376	1191	1156
14.0	386986	115919	31322	92005	32353	52594	158653	51381	69399	28434	17058	768	260	18154	2594	8013	1292	1269
14.1	387014	110667	33162	88922	31768	51830	163569	50925	65429	27578	16615	799	246	18900	2853	8597	1288	1524
14.2	399075	108524	35990	90242	31309	53867	168813	54844	63909	26843	16645	759	368	20660	3097	9000	1467	1766
14.3	409791	107515	37703	90576	31373	54958	175033	57851	63732	26765	15764	886	368	21143	3276	10076	1527	1681
14.4	419001	106555	40095	92368	32163	55905	180169	58396	63316	26927	15174	856	282	22360	3645	10679	1627	1784
14.5	426607	104371	42793	94080	31212	56671	185786	58858	63183	25904	14065	907	312	23806	3861	11732	1770	1624
14.6	436272	101541	46564	92659	31348	57561	192246	62458	60629	25660	14007	865	380	25762	4279	12756	1930	1837
14.7	444596	101412	49259	94413	31008	60108	198212	60855	61101	25108	14093	811	299	27254	4619	13930	1977	1479
14.8	468549	105734	54386	104303	31222	60373	208982	63669	66468	25031	12945	970	320	30277	4868	14997	2287	1957
14.9	465578	93333	59211	92926	31679	61274	209969	69730	54901	25155	12126	896	255	31376	5108	16017	2328	4382
15.0	479585	92360	63431	92847	31949	62618	216802	75369	53795	25153	12128	951	333	32194	5466	16599	2673	6499
15.1	501082	99928	62982	108113	32264	65083	224251	71371	61497	24974	12004	1112	341	34749	5837	17985	2826	1585
15.2	513705	97200	65004	105719	32894	65494	232547	77051	58868	25252	11356	1307	417	34884	6299	19101	3055	1665
15.3	511048	87738	68764	92935	32602	69312	235984	80215	49634	24770	11567	1311	456	36122	6415	21224	3231	1772
15.4	525673	87165	73831	94069	33032	71848	242657	84067	48539	24759	11985	1452	430	38099	6934	23424	3512	1862
15.5	537697	90055	75895	97678	33120	72200	246597	88102	51686	24431	11960	1511	467	39095	7189	24038	3874	1699
