logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
17.0	140430	93103	23525	0	47614	92816	0	0	0	43301	49802	0	0	0	897	22628	0	0
17.1	157050	102583	28052	0	55191	101859	0	0	0	49380	53203	0	0	0	1953	26099	0	0
17.2	179546	114305	34475	0	63151	116395	0	0	0	55640	58665	0	0	0	3393	31082	0	0
17.3	178028	111828	37257	0	67972	110056	0	0	0	58201	53627	0	0	0	5098	32159	0	0
17.4	184519	115029	37697	0	68712	115807	0	0	0	59915	55114	0	0	0	4374	33323	0	0
17.5	202957	129657	35855	0	69979	132978	0	0	0	64123	65534	0	0	0	1775	34080	0	0
17.6	239851	151167	45693	0	88587	151264	0	0	0	79857	71310	0	0	0	3681	42012	0	0
17.7	343261	203527	70758	0	100710	242551	0	0	0	88110	115417	0	0	0	6522	64236	0	0
17.8	452408	247267	94427	0	112754	339654	0	0	0	96505	150762	0	0	0	10284	84143	0	0
17.9	500706	238206	108224	0	127183	373523	0	0	0	104722	133484	0	0	0	15442	92782	0	0
18.0	531830	237606	140436	0	141082	390748	0	0	0	112351	125255	0	0	0	21137	119299	0	0
18.1	688569	262398	188690	0	159288	529281	0	0	0	123886	138512	0	0	0	27717	160973	0	0
18.2	793811	270371	186769	0	142273	651538	0	0	0	121747	148624	0	0	0	12787	173982	0	0
18.3	817805	298231	225182	0	175226	642579	0	0	0	149762	148469	0	0	0	15444	209738	0	0
18.4	845208	323224	242444	0	199840	645368	0	0	0	166982	156242	0	0	0	22071	220373	0	0
18.5	977744	359782	289184	0	234390	743354	0	0	0	189976	169806	0	0	0	33488	255696	0	0
18.6	1669668	453105	404947	0	238835	592236	838597	0	0	194044	111951	147110	0	0	34616	237214	133117	0
18.7	1197143	324111	276540	0	271516	242048	683579	0	0	231056	20382	72673	0	0	27936	189057	59547	0
18.8	1193811	293027	282127	0	311743	268442	613626	0	0	263378	20400	9249	0	0	35620	215125	31382	0
18.9	1454304	345131	335333	0	378223	299460	776621	0	0	313532	21065	10534	0	0	49915	244439	40979	0
19.0	1443651	391295	369904	0	447543	331165	664943	0	0	368244	17502	5549	0	0	63447	278853	27604	0
19.1	1748729	434792	426533	0	503562	364589	880578	0	0	411983	17684	5125	0	0	80236	312026	34271	0
19.2	2413657	473275	508915	45734	507595	416667	1443661	0	45361	400707	20134	7073	0	4	95339	359732	53840	0
19.3	2396912	577006	605961	452872	251363	489247	1203430	0	446039	101119	25227	4621	0	2739	137751	422446	43025	0
19.4	2910287	649664	704604	549676	252923	564720	1542968	0	531351	87444	27714	3155	0	11470	152658	493065	47411	0
19.5	4151177	815314	792566	761935	287514	577881	2523847	0	707524	77493	25058	5239	0	36444	192433	507241	56448	0
19.6	4823825	1420888	1193005	1650522	440676	661314	2071313	0	1323513	65272	28652	3451	0	224748	343057	575663	49537	0
19.7	6916791	1745319	1793300	2348719	539510	705270	3323292	0	1664518	47477	26937	6387	0	633242	464693	622461	72904	0
19.8	9512129	3593494	2340229	4716107	610075	865528	1295237	2025182	3419810	122727	44408	4205	2344	1080533	440455	727615	68146	23480
19.9	3907187	200158	988258	636459	54368	684404	76413	2455543	167936	2068	24538	3787	1829	292017	38369	571318	62098	24456
20.0	4963964	57190	875386	0	0	657420	88445	4218099	0	0	22431	5139	29620	0	0	551147	71050	253189
